titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
movie,The Long Falling,Où va la nuit,2011,105,Drama
movie,Maximum Ride,Maximum Ride,2016,88,"Action,Adventure,Comedy"
movie,Caravaggio and My Mother the Pope,Caravaggio and My Mother the Pope,2018,90,"Comedy,Drama"
movie,Return to Yucca Flats: Desert Man-Beast,Return to Yucca Flats: Desert Man-Beast,2010,79,"Comedy,Horror"
movie,Magic,Magic,2010,\N,"Adventure,Family"
movie,Wild in the Streets,Wild in the Streets,2012,82,Documentary
movie,Dracula Untold,Dracula Untold,2014,92,"Action,Drama,Fantasy"
movie,Gallowwalkers,Gallowwalkers,2012,90,"Action,Horror,Thriller"
video,Santeria: The Soul Possessed,Santeria: The Soul Possessed,2012,82,Horror
movie,Waking Madison,Waking Madison,2010,89,Drama
movie,Godzilla,Godzilla,2014,123,"Action,Adventure,Sci-Fi"
movie,Land,Land,2010,76,Documentary
movie,The Babymakers,The Babymakers,2012,95,Comedy
movie,Electric Slide,Electric Slide,2014,95,"Action,Biography,Crime"
movie,Krystal,Krystal,2017,90,"Comedy,Drama"
movie,Pee-wee's Big Holiday,Pee-wee's Big Holiday,2016,90,"Adventure,Comedy,Family"
movie,Approaching Midnight,Approaching Midnight,2013,86,"Crime,Drama,Romance"
movie,Hotel Transylvania,Hotel Transylvania,2012,91,"Animation,Comedy,Family"
movie,Pet Sematary,Pet Sematary,2019,\N,Horror
movie,Retreat!,Retreat!,2016,\N,"Comedy,Drama,War"
movie,Bhopal: A Prayer for Rain,Bhopal: A Prayer for Rain,2014,96,Drama
short,Eloise,Eloise,2014,11,"Drama,Short"
movie,Everyday Sunshine: The Story of Fishbone,Everyday Sunshine: The Story of Fishbone,2010,107,"Documentary,Music"
movie,The Town,The Town,2010,125,"Crime,Drama,Thriller"
movie,Río de oro,Río de oro,2010,\N,Western
movie,Whatever Happened to Pete Blaggit?,Whatever Happened to Pete Blaggit?,2012,94,"Comedy,Sci-Fi"
movie,The Kids Are All Right,The Kids Are All Right,2010,106,"Comedy,Drama,Romance"
movie,The Fallen Word,The Fallen Word,2013,60,"Drama,Fantasy,Mystery"
movie,Ivan Mosjoukine ou L'enfant du carnaval,Ivan Mosjoukine ou L'enfant du carnaval,2016,67,Documentary
movie,Killer by Nature,Killer by Nature,2010,94,"Adventure,Crime,Drama"
movie,Pox,Pox,2011,100,"Comedy,Sci-Fi"
movie,Hoodwinked Too! Hood vs. Evil,Hoodwinked Too! Hood vs. Evil,2011,86,"Animation,Comedy,Crime"
movie,Gangster Exchange,Gangster Exchange,2010,95,Action
movie,Loot,Loot,2011,\N,"Action,Comedy,Crime"
movie,Neowolf,Neowolf,2010,88,"Horror,Thriller"
movie,Night Traveler,Night Traveler,2013,\N,Adventure
movie,Fun in the Army,Fauj Mein Mauj,2010,\N,Comedy
movie,The Speed of Thought,The Speed of Thought,2011,93,"Sci-Fi,Thriller"
movie,The Avengers,The Avengers,2012,143,"Action,Adventure,Sci-Fi"
movie,Epic,Epic,2013,102,"Adventure,Animation,Family"
movie,The Sighting,Travis,2016,98,"Horror,Sci-Fi,Thriller"
movie,Duel of Legends,Duel of Legends,2018,\N,"Action,Drama,Sport"
video,Change Your Life!,Change Your Life!,2010,\N,Comedy
movie,Jack & Diane,Jack & Diane,2012,110,"Drama,Horror,Romance"
movie,Jackson Arms,Jackson Arms,2015,90,Romance
movie,Risen,Risen,2010,121,"Biography,Drama"
movie,Sir Billi,Sir Billi,2012,76,"Adventure,Animation,Comedy"
movie,Folie à deux,Folie à deux,2012,\N,Drama
movie,Bloudím,Bloudím,2010,75,Drama
movie,Naked Run,Naked Run,2011,84,Comedy
movie,A Summer Song,A Summer Song,2010,\N,Drama
movie,This Is What Love in Action Looks Like,This Is What Love in Action Looks Like,2011,74,Documentary
movie,Great American Dream,Great American Dream,2013,90,"Drama,Sport"
movie,Kolorádó Kid,Kolorádó Kid,2010,111,"Drama,Romance"
movie,The Sweeney,The Sweeney,2012,112,"Action,Crime,Drama"
movie,2001 Maniacs: Field of Screams,2001 Maniacs: Field of Screams,2010,84,"Comedy,Horror"
movie,Immortal Island,Immortal Island,2011,84,"Adventure,Horror,Thriller"
movie,Wide Blue Yonder,Wide Blue Yonder,2010,82,"Comedy,Drama"
movie,The Golden Greek: The Harry Agganis Story,The Golden Greek: The Harry Agganis Story,2010,\N,Documentary
movie,Super Troopers 2,Super Troopers 2,2018,99,"Comedy,Crime,Mystery"
movie,Evangelion: 3.0 You Can (Not) Redo,Evangerion shin gekijôban: Kyu,2012,96,"Action,Animation,Drama"
movie,Zenitram,Zenitram,2010,103,"Action,Adventure,Comedy"
movie,Lupin the 3rd,Rupan sansei,2014,133,"Action,Adventure,Comedy"
movie,Dukun,Dukun,2018,108,"Horror,Thriller"
movie,Mr. Peabody & Sherman,Mr. Peabody & Sherman,2014,92,"Adventure,Animation,Comedy"
movie,Letting Go,Letting Go,2012,83,"Drama,Romance"
movie,6 Month Rule,6 Month Rule,2011,100,Comedy
movie,Catharsis,Katharsis,2011,89,Mystery
movie,Jungle Cruise,Jungle Cruise,2019,\N,Adventure
movie,Touch Wood,Touch Wood,2010,\N,Comedy
movie,The Nightclub Days,The Nightclub Days,2012,\N,Comedy
movie,"Surprise, Surprise","Surprise, Surprise",2010,83,Drama
movie,My Soul to Take,My Soul to Take,2010,107,"Horror,Mystery,Thriller"
movie,Red State,Red State,2011,88,"Action,Crime,Horror"
movie,The Dot Man,The Dot Man,2017,\N,"Drama,Thriller"
movie,Beijing Taxi,Beijing Taxi,2010,78,Documentary
movie,The Secret Philosophy,The Secret Philosophy,2010,90,Thriller
movie,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,2011,\N,Documentary
movie,Rift,Rift,2011,100,"Horror,Thriller"
movie,Bury the Hatchet,Bury the Hatchet,2010,120,Documentary
movie,Chûshingura,Chûshingura,2016,76,\N
movie,Bulletface,Bulletface,2010,82,Thriller
movie,First Circle,First Circle,2010,72,Documentary
movie,Jewtopia,Jewtopia,2012,90,"Comedy,Romance"
movie,Please Give,Please Give,2010,87,"Comedy,Drama"
movie,Harm's Way,Harm's Way,2010,82,Thriller
movie,Torn,Torn,2010,\N,Thriller
movie,Eat Pray Love,Eat Pray Love,2010,133,"Drama,Romance"
movie,Mama I Want to Sing,Mama I Want to Sing,2011,100,Musical
movie,Sanctum,Sanctum,2011,108,"Adventure,Drama,Thriller"
movie,AIR: The Musical,AIR: The Musical,2010,100,"Comedy,Musical,Romance"
movie,Snitch,Snitch,2013,112,"Action,Drama,Thriller"
tvMovie,Mr. Hockey: The Gordie Howe Story,Mr. Hockey: The Gordie Howe Story,2013,87,"Biography,Drama,Sport"
movie,Wreckage,Wreckage,2010,87,"Horror,Thriller"
movie,Drain Baby,Drain Baby,2011,\N,Horror
movie,Legends of Oz: Dorothy's Return,Legends of Oz: Dorothy's Return,2013,88,"Adventure,Animation,Family"
movie,The Wedding Ringer,The Wedding Ringer,2015,101,Comedy
tvMovie,Medium Raw: Night of the Wolf,Medium Raw: Night of the Wolf,2010,100,"Fantasy,Thriller"
movie,Hyenas,Hyenas,2011,92,Horror
movie,Repo,Repo,2010,97,"Comedy,Drama"
movie,Rollerboy,Rollerboy,2013,81,Documentary
movie,Honor,Kavod,2010,118,"Crime,Drama,Thriller"
movie,The Switch,The Switch,2010,101,"Comedy,Drama,Romance"
movie,RxCannabis: A Freedom Tale,RxCannabis: A Freedom Tale,2018,83,Documentary
movie,Hamlet A.D.D.,Hamlet A.D.D.,2014,95,"Animation,Comedy,Fantasy"
movie,Gun of the Black Sun,Gun of the Black Sun,2011,90,Fantasy
movie,Letters to Juliet,Letters to Juliet,2010,105,"Adventure,Comedy,Drama"
movie,How to Train Your Dragon,How to Train Your Dragon,2010,98,"Action,Adventure,Animation"
movie,Shrek Forever After,Shrek Forever After,2010,93,"Adventure,Animation,Comedy"
movie,Blur,Blur,2011,90,"Drama,Mystery,Thriller"
movie,From Prada to Nada,From Prada to Nada,2011,107,"Comedy,Drama,Romance"
movie,The Whistleblower,The Whistleblower,2010,112,"Action,Biography,Crime"
video,Between the Sand and the Sky,Between the Sand and the Sky,2014,4,"Adventure,Romance,Western"
movie,Don't Fade Away,Don't Fade Away,2010,89,Drama
movie,The Key Man,The Key Man,2011,80,"Crime,Drama,Thriller"
movie,Suite Française,Suite Française,2014,107,"Drama,Romance,War"
movie,Psych:9,Psych:9,2010,98,"Horror,Mystery,Thriller"
movie,Acts of Violence,Acts of Violence,2010,\N,"Crime,Drama,Thriller"
video,Butchered,Butchered,2010,71,Horror
video,Silent Vengeance,Silent Vengeance,2011,90,Horror
video,Privileged,Privileged,2010,\N,Drama
short,Red Princess Blues,Red Princess Blues,2010,11,"Action,Short,Thriller"
movie,Westbrick Murders,Westbrick Murders,2010,90,"Action,Crime,Thriller"
movie,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,2012,169,"Adventure,Family,Fantasy"
movie,Love & Mercy,Love & Mercy,2014,121,"Biography,Drama,Music"
video,Blood: A Butcher's Tale,Blood: A Butcher's Tale,2010,\N,Horror
movie,The Thing,The Thing,2011,103,"Horror,Mystery,Sci-Fi"
movie,The Grind,The Grind,2012,85,"Crime,Thriller"
movie,The Unlikely's,The Unlikely's,2016,\N,Comedy
tvEpisode,"The $10,000 Gift","The $10,000 Gift",2010,\N,Romance
movie,Black Butterflies,Black Butterflies,2011,100,"Biography,Drama"
movie,Prey,Proie,2010,90,"Adventure,Drama,Horror"
video,N.Y.C. Underground,N.Y.C. Underground,2013,87,"Action,Thriller"
movie,Eager to Die,Eager to Die,2010,109,"Drama,Thriller"
movie,Exposed,Exposed,2012,82,"Drama,Mystery,Thriller"
movie,A Merry Friggin' Christmas,A Merry Friggin' Christmas,2014,88,Comedy
movie,Movin' In,Movin' In,2010,95,"Comedy,Romance"
tvMiniSeries,Bloodletting & Miraculous Cures,Bloodletting & Miraculous Cures,2010,60,Drama
movie,House Under Siege,House Under Siege,2010,78,"Action,Thriller"
movie,Monkeyman935,Monkeyman935,2010,\N,Horror
video,RMS Titanic: The Story Biograph Told,RMS Titanic: The Story Biograph Told,2012,60,"Adventure,Documentary,Drama"
movie,Unthinkable,Unthinkable,2010,97,"Drama,Thriller"
movie,Jackboots on Whitehall,Jackboots on Whitehall,2010,91,"Animation,Comedy,Sci-Fi"
movie,Gangster Kittens,Gangster Kittens,2016,\N,"Drama,Thriller"
movie,Periphery,Periphery,2011,\N,Drama
movie,Victim,Victim,2010,90,"Horror,Thriller"
movie,The Legend of Tarzan,The Legend of Tarzan,2016,110,"Action,Adventure,Drama"
movie,The Happy Housewife,De gelukkige huisvrouw,2010,100,"Comedy,Drama,Romance"
movie,I Am Not a Bird,I Am Not a Bird,2018,\N,"Drama,Thriller"
movie,The Dead Undead,The Dead Undead,2010,89,"Action,Horror,Sci-Fi"
video,Hogzilla,Hogzilla,2014,90,Horror
movie,Truth About Kerry,Truth About Kerry,2010,84,"Drama,Mystery,Thriller"
movie,Pizza with Bullets,Pizza with Bullets,2010,99,Comedy
movie,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1,2010,146,"Adventure,Family,Fantasy"
movie,Road to Red,Road to Red,2016,120,"Action,Adventure,Thriller"
movie,White Men Can't Dance,White Men Can't Dance,2012,105,"Drama,Family"
tvSeries,Shooting Gallery,Shooting Gallery,2011,\N,\N
tvEpisode,Celebrity Mastermind 2009/2010: Episode 5,Celebrity Mastermind 2009/2010: Episode 5,2010,28,Game-Show
movie,The Penthouse,The Penthouse,2010,89,Comedy
movie,Deep Gold 3D,Deep Gold,2011,86,Action
videoGame,Star Trek Online,Star Trek Online,2010,\N,"Action,Adventure,Sci-Fi"
movie,The Man in the Silo,The Man in the Silo,2016,55,Drama
movie,Jun-09,Jun-09,2018,95,"Horror,Mystery,Thriller"
movie,"Glenn, the Flying Robot","Glenn, the Flying Robot",2010,85,"Drama,Sci-Fi"
movie,The Waiter,The Waiter,2010,92,"Action,Crime,Drama"
movie,Rabbit Hole,Rabbit Hole,2010,91,Drama
tvEpisode,Garage Alone/Camp Happy Helpers,Garage Alone/Camp Happy Helpers,2017,22,"Adventure,Animation,Comedy"
movie,Joe Dick,Joe Dick,2017,96,Comedy
movie,The Devil's Flower,Tsvetok dyavola,2010,90,"Mystery,Romance"
movie,The Last Airbender,The Last Airbender,2010,103,"Action,Adventure,Family"
movie,Freaky Deaky,Freaky Deaky,2012,90,"Comedy,Crime,Thriller"
movie,Silent Hill: Revelation,Silent Hill: Revelation,2012,95,Horror
tvSeries,Regresso a Sizalinda,Regresso a Sizalinda,2010,\N,Drama
movie,Arthur 3: The War of the Two Worlds,Arthur 3: la guerre des deux mondes,2010,101,"Adventure,Animation,Family"
movie,White Knuckles,White Knuckles,2010,88,"Drama,Thriller"
movie,Salt,Salt,2010,100,"Action,Crime,Mystery"
tvSeries,Game of Thrones,Game of Thrones,2011,57,"Action,Adventure,Drama"
movie,Source Code,Source Code,2011,93,"Mystery,Romance,Sci-Fi"
tvEpisode,Balls,Balls,2013,\N,"Documentary,History"
movie,Black Swan,Black Swan,2010,108,"Drama,Thriller"
movie,Green Zone,Green Zone,2010,115,"Action,Drama,Thriller"
movie,The Amazing Spider-Man,The Amazing Spider-Man,2012,136,"Action,Adventure,Sci-Fi"
movie,Coffee Sex You,Coffee Sex You,2014,88,Drama
tvEpisode,Insulation,Insulation,2013,\N,"Documentary,History"
movie,The Killer Inside Me,The Killer Inside Me,2010,109,"Crime,Drama,Thriller"
movie,Robin Hood,Robin Hood,2010,140,"Action,Adventure,Drama"
movie,Reach Me,Reach Me,2014,95,"Comedy,Crime,Drama"
movie,Nine Dead,Nine Dead,2010,98,"Crime,Drama,Horror"
movie,Heart of Now,Heart of Now,2010,90,Drama
videoGame,Final Fantasy XV,Fainaru fantajî XV,2016,\N,"Action,Adventure,Fantasy"
movie,Let Me Survive,Let Me Survive,2013,\N,Drama
movie,Beautiful Darling,Beautiful Darling,2010,85,Documentary
movie,Private Security Officer: Los Angeles,Private Security Officer: Los Angeles,2010,84,"Action,Comedy,Crime"
movie,"Truth in Numbers? Everything, According to Wikipedia","Truth in Numbers? Everything, According to Wikipedia",2010,85,Documentary
movie,Avenge,Avenge,2014,88,Drama
movie,A Monster in Paris,Un monstre à Paris,2011,90,"Adventure,Animation,Comedy"
movie,Devour,Devour,2011,\N,Horror
movie,The Trouble with Cali,The Trouble with Cali,2012,\N,Comedy
movie,The House of Sun,Dom Solntsa,2010,110,Drama
movie,Made in Romania,Made in Romania,2010,95,Comedy
movie,Feast of the Assumption: BTK and the Otero Family Murders,Feast of the Assumption: The Otero Family Murders,2010,86,"Crime,Documentary"
movie,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109,"Action,Adventure,Family"
movie,The Fighter,The Fighter,2010,116,"Biography,Drama,Sport"
movie,Pushin' Up Daisies,Pushin' Up Daisies,2010,87,Comedy
tvSeries,Bubble Guppies,Bubble Guppies,2011,24,"Animation,Comedy,Family"
movie,Have You Heard from Johannesburg: Hell of a Job,Have You Heard from Johannesburg: Hell of a Job,2010,57,Documentary
movie,Have You Heard from Johannesburg: Road to Resistance,Have You Heard from Johannesburg: Road to Resistance,2010,65,Documentary
movie,L'imbroglio nel lenzuolo,L'imbroglio nel lenzuolo,2010,105,"Comedy,Romance"
movie,The Conspirator,The Conspirator,2010,122,"Crime,Drama,History"
movie,Little Witch on a Broomstick,Saxána a Lexikon kouzel,2011,90,"Animation,Comedy,Family"
movie,Strange Frame: Love & Sax,Strange Frame: Love & Sax,2012,98,"Animation,Crime,Music"
movie,White Wall,White Wall,2010,91,"Action,Mystery,Sci-Fi"
movie,Hugo,Hugo,2011,126,"Adventure,Drama,Family"
movie,Little Fockers,Little Fockers,2010,98,"Comedy,Romance"
movie,The Chosen One,The Chosen One,2010,101,"Comedy,Drama"
movie,The Reason,La razón,2010,70,"Drama,Fantasy,History"
tvEpisode,Ick Alone,Ick Alone,2012,\N,"Animation,Family"
tvEpisode,The Big Race,The Big Race,2012,\N,"Animation,Family"
tvEpisode,Windy Night,Windy Night,2012,\N,"Animation,Family"
tvEpisode,World Tree Day,World Tree Day,2012,\N,"Animation,Family"
movie,Back Roads,Back Roads,2018,101,"Drama,Thriller"
movie,Have You Heard from Johannesburg: Fair Play,Have You Heard from Johannesburg: Fair Play,2010,96,Documentary
movie,Have You Heard from Johannesburg: The Bottom Line,Have You Heard from Johannesburg: The Bottom Line,2010,86,Documentary
movie,Lives and Deaths of the Poets,Lives and Deaths of the Poets,2011,93,Comedy
movie,Headhunter: The Assessment Weekend,Headhunter: The Assessment Weekend,2010,93,Thriller
movie,Justice League,Justice League,2017,120,"Action,Adventure,Fantasy"
movie,Black Limousine,The Land of the Astronauts,2010,102,Drama
movie,Hitchcock,Hitchcock,2012,98,"Biography,Drama"
movie,Sinatra Club,Sinatra Club,2010,88,"Action,Biography,Crime"
short,Detention,Detention,2012,16,"Adventure,Comedy,Horror"
movie,Boyle Heights,Boyle Heights,2010,101,Action
movie,Chooriyan,Chooriyan,2015,\N,"Drama,Musical,Romance"
movie,Fair Game,Fair Game,2010,108,"Biography,Drama,Thriller"
videoGame,Red Steel 2,Red Steel 2,2010,\N,"Action,Western"
movie,Sucker Punch,Sucker Punch,2011,110,"Action,Fantasy"
movie,Have You Heard from Johannesburg: Free at Last,Have You Heard from Johannesburg: Free at Last,2010,78,Documentary
tvSeries,Boardwalk Empire,Boardwalk Empire,2010,55,"Crime,Drama,History"
movie,Lottery Ticket,Lottery Ticket,2010,99,Comedy
movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113,"Adventure,Family,Fantasy"
movie,Four,Four,2012,75,"Drama,Romance"
movie,Heredity,Heredity,2010,\N,"Horror,Thriller"
movie,Funkytown,Funkytown,2011,132,Drama
movie,The Unwanted,The Unwanted,2013,95,"Drama,Thriller"
movie,The Adventures of Tintin,The Adventures of Tintin,2011,107,"Action,Adventure,Animation"
movie,You're Nobody 'til Somebody Kills You,You're Nobody 'til Somebody Kills You,2012,86,"Horror,Thriller"
movie,El Padrino II: Border Intrusion,El Padrino II: Border Intrusion,2011,90,Crime
movie,A Dance for Grace,A Dance for Grace,2010,\N,Drama
movie,Multiple Sarcasms,Multiple Sarcasms,2010,97,Drama
videoGame,Black Mirror 2,Black Mirror 2,2010,\N,"Adventure,Horror,Mystery"
movie,Machete,Machete,2010,105,"Action,Crime,Thriller"
movie,The Magic Crystal,Maaginen kristalli,2011,80,"Adventure,Animation,Comedy"
movie,A Flat,A Flat,2010,103,"Drama,Horror,Romance"
movie,The Gainesville Ripper,The Gainesville Ripper,2010,90,Horror
movie,Dear John,Dear John,2010,108,"Drama,Romance,War"
movie,Detention,Detention,2010,81,"Horror,Thriller"
movie,The Green Hornet,The Green Hornet,2011,119,"Action,Comedy,Crime"
movie,The Significant Other,The Significant Other,2012,90,"Comedy,Romance"
short,The Passport,The Passport,2010,18,Short
tvMovie,Dave Brubeck: In His Own Sweet Way,Dave Brubeck: In His Own Sweet Way,2010,85,Documentary
movie,Hanna,Hanna,2011,111,"Action,Drama,Thriller"
movie,The Wolf of Wall Street,The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime"
movie,Adventure Scouts,Adventure Scouts,2010,83,"Action,Adventure,Comedy"
movie,The Courier,The Courier,2012,95,"Action,Crime,Drama"
movie,The Unforgiven,The Unforgiven,2011,115,Drama
movie,Pelé: Birth of a Legend,Pelé: Birth of a Legend,2016,107,"Biography,Drama,Sport"
movie,The Extendables,The Extendables,2014,84,Comedy
movie,Legend of the Red Reaper,Legend of the Red Reaper,2013,99,"Action,Adventure,Fantasy"
movie,The Slimbones,The Slimbones,2014,\N,Animation
movie,Bibliothèque Pascal,Bibliothèque Pascal,2010,105,Drama
movie,The Experiment,The Experiment,2010,96,"Drama,Thriller"
movie,Looking for the Lost Tango,Stadilaista tangoa etsimässä,2010,90,"Documentary,Music"
movie,Two Knives,Two Knives,2011,107,Action
movie,Straw Dogs,Straw Dogs,2011,110,"Action,Drama,Thriller"
movie,Megamind,Megamind,2010,95,"Action,Animation,Comedy"
tvMovie,Welcome to the Family,Welcome to the Family,2010,\N,Reality-TV
movie,The Young Messiah,The Young Messiah,2016,111,"Drama,Fantasy"
movie,If You Only Knew,If You Only Knew,2011,106,Drama
movie,Call of Life,Call of Life,2010,60,Documentary
movie,Last Breath,Last Breath,2010,91,Horror
movie,The Iron Lady,The Iron Lady,2011,105,"Biography,Drama"
movie,Colombian Interviews,Colombian Interviews,2011,\N,"Drama,Thriller"
movie,Opal,Opal,2010,79,Drama
movie,The Steamroom,The Steamroom,2010,91,"Comedy,Drama"
movie,Return of the Atom,Atomin paluu,2015,110,Documentary
movie,Love Sick Diaries,Love Sick Diaries,2010,\N,Drama
movie,Knight and Day,Knight and Day,2010,109,"Action,Comedy"
movie,Dylan Dog: Dead of Night,Dylan Dog: Dead of Night,2010,107,"Action,Comedy,Crime"
movie,Alice in Wonderland,Alice in Wonderland,2010,108,"Adventure,Family,Fantasy"
movie,Child 44,Child 44,2015,137,"Crime,Drama,Thriller"
movie,Bad Dog and Superhero,Bad Dog and Superhero,2014,72,Comedy
movie,Holy Wars,Holy Wars,2010,84,Documentary
movie,Felony Murder,Felony Murder,2019,\N,"Documentary,Drama"
video,The Fracktaplots,The Fracktaplots,2010,66,Comedy
movie,The Sisterhood of Night,The Sisterhood of Night,2014,104,"Drama,Mystery,Thriller"
movie,The Cursed,The Cursed,2010,88,"Horror,Romance,Thriller"
movie,Pax,Pax,2010,75,Drama
movie,Prime of Your Life,Prime of Your Life,2010,93,"Comedy,Drama,Romance"
movie,Splintered,Splintered,2010,85,"Horror,Thriller"
movie,The Runaways,The Runaways,2010,106,"Biography,Drama,Music"
movie,The Tortured,The Tortured,2010,79,"Horror,Thriller"
movie,Heart Like a Hand Grenade,Heart Like a Hand Grenade,2015,96,Documentary
movie,Our Brand Is Crisis,Our Brand Is Crisis,2015,107,"Comedy,Drama"
movie,Jeffie Was Here,Jeffie Was Here,2010,110,"Adventure,Comedy"
movie,Deal,Deal,2010,101,"Action,Drama"
movie,Selma,Selma,2014,128,"Biography,Drama,History"
movie,Centurion,Centurion,2010,97,"Action,Adventure,Drama"
movie,Patagonia,Patagonia,2010,119,"Adventure,Drama"
movie,The Method,The Method,2017,\N,"Drama,Mystery,Romance"
movie,Certified Copy,Copie conforme,2010,106,Drama
movie,Takedowns and Falls,Takedowns and Falls,2010,127,"Documentary,Sport"
movie,Babies,Bébé(s),2010,79,Documentary
movie,Odd Brodsky,Odd Brodsky,2014,93,Comedy
tvSeries,Diário do Olivier,Diário do Olivier,2016,\N,Family
movie,Deer Season,Deer Season,2015,92,Thriller
movie,Rising Star,Rising Star,2010,98,Drama
movie,The Way Back,The Way Back,2010,133,"Adventure,Drama,History"
movie,Where's My Stuff?,Where's My Stuff?,2011,85,Comedy
movie,Kingshighway,Kingshighway,2010,\N,Crime
movie,Programming the Nation?,Programming the Nation?,2011,105,Documentary
movie,Argo,Argo,2012,120,"Biography,Drama,Thriller"
movie,Session,Session,2011,89,Drama
short,8 Butterflies,8 Butterflies,2010,17,"Drama,Horror,Short"
movie,The People I've Slept With,The People I've Slept With,2012,89,Comedy
movie,Gunned Down,Gunned Down,2017,95,"Action,Thriller"
movie,Palominas,Palominas,2018,\N,"Action,Drama,Western"
movie,Gemini Man,Gemini Man,2019,\N,"Action,Drama,Sci-Fi"
movie,The Pardon,The Pardon,2013,120,Crime
movie,Dead Americans,Dead Americans,2010,\N,Sci-Fi
movie,Kill Speed,Kill Speed,2010,113,"Action,Crime,Thriller"
movie,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010,133,Drama
movie,Tied in Blood,Tied in Blood,2012,88,"Drama,Horror,Mystery"
movie,Asylum Blackout,The Incident,2011,85,"Horror,Thriller"
movie,The Magnificent Eleven,The Magnificent Eleven,2013,91,"Comedy,Drama,Sport"
movie,Secretariat,Secretariat,2010,123,"Biography,Drama,Family"
movie,Krrish 3,Krrish 3,2013,152,"Action,Adventure,Sci-Fi"
movie,Poltergeist,Poltergeist,2015,93,"Horror,Thriller"
movie,Tied to a Chair,Tied to a Chair,2011,94,Comedy
short,The Small Assassin,The Small Assassin,2011,16,"Mystery,Short,Thriller"
tvEpisode,Baby on Board,Baby on Board,2010,\N,"Comedy,Romance"
movie,Beautiful Girl,Beautiful Girl,2014,90,Drama
movie,The Warrior's Way,The Warrior's Way,2010,100,"Action,Fantasy,Western"
movie,Inseparable,Xing ying bu li,2011,97,"Drama,Mystery"
movie,The Descendants,The Descendants,2011,115,"Comedy,Drama"
tvMiniSeries,Alias Grace,Alias Grace,2017,60,"Biography,Crime,Drama"
movie,Bad Meat,Bad Meat,2011,92,"Comedy,Horror"
movie,Somewhere Tonight,Somewhere Tonight,2011,85,"Comedy,Drama,Romance"
movie,Iron Sky,Iron Sky,2012,93,"Action,Comedy,Sci-Fi"
movie,Cold Skin,Cold Skin,2017,108,"Adventure,Horror,Sci-Fi"
movie,The Eagle,The Eagle,2011,114,"Action,Adventure,Drama"
movie,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery"
movie,The Photon Effect,The Photon Effect,2010,102,Sci-Fi
movie,Women's Studies,Women's Studies,2010,96,Horror
movie,Cody the Robosapien,Robosapien: Rebooted,2013,86,"Adventure,Drama,Family"
movie,Everyday,Everyday,2012,106,Drama
tvSeries,Unterwegs in Sachsen,Unterwegs in Sachsen,2018,30,Documentary
tvSeries,Unterwegs in Sachsen-Anhalt,Unterwegs in Sachsen-Anhalt,2016,30,Documentary
tvSeries,Unterwegs in Thüringen,Unterwegs in Thüringen,2018,30,Documentary
movie,The Book of Eli,The Book of Eli,2010,118,"Action,Adventure,Drama"
videoGame,StarCraft II: Wings of Liberty,StarCraft II: Wings of Liberty,2010,\N,"Action,Sci-Fi"
movie,The King of Fighters,The King of Fighters,2010,93,"Action,Sci-Fi,Thriller"
movie,Legion,Legion,2010,100,"Action,Fantasy,Horror"
movie,The Story of Luke,The Story of Luke,2012,96,"Comedy,Drama"
movie,The Bounty Hunter,The Bounty Hunter,2010,110,"Action,Comedy,Romance"
movie,Manipulation,Manipulation,2011,90,"Drama,Thriller"
movie,Let the Game Begin,Let the Game Begin,2010,110,"Comedy,Drama,Mystery"
movie,The Nutcracker in 3D,The Nutcracker in 3D,2010,110,"Action,Family,Fantasy"
movie,Just Inès,Just Inès,2010,90,Drama
tvMovie,Dark Island,Dark Island,2010,87,"Action,Sci-Fi,Thriller"
movie,The Legend of Hercules,The Legend of Hercules,2014,99,"Action,Adventure,Fantasy"
movie,Not Another B Movie,Not Another B Movie,2010,87,Comedy
movie,For the Good of Others,El mal ajeno,2010,107,"Drama,Sci-Fi,Thriller"
tvSeries,Titans,Titans,2018,45,"Action,Adventure,Fantasy"
movie,Silver Linings Playbook,Silver Linings Playbook,2012,122,"Comedy,Drama,Romance"
movie,Wasteland,Wasteland,2011,80,"Action,Adventure,Sci-Fi"
movie,You and I,You and I,2011,100,"Drama,Romance"
movie,Ghost Hoax,Ghost Hoax,2010,108,"Horror,Mystery,Thriller"
video,Cross,Cross,2011,105,"Action,Fantasy"
movie,Unfinished Song,Song for Marion,2012,90,"Comedy,Drama,Music"
movie,Aaj Kal,Aaj Kal,2010,90,"Comedy,Romance"
movie,Camp Hell,Camp Hell,2010,99,"Drama,Horror"
movie,Caris' Peace,Caris' Peace,2011,76,Documentary
